'DAC_CURRENT_OFFSET_3',27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
'DAC_VOLTAGE_GAIN_4',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_4',7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
'ADC_U_LOAD_GAIN_4',1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_LOAD_OFFSET_4',12.0,12.0,16.0,11.0,15.0,14.0,15.0,12.0,14.0,13.0,13.0,13.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0,15.0
'ADC_U_REGULATOR_GAIN_4',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_4',14.0,14.0,14.0,15.0,17.0,18.0,17.0,14.0,15.0,17.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,18.0,16.0,13.0
'ADC_I_MON_GAIN_4',4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
'ADC_I_MON_OFFSET_4',29.0,26.0,28.0,33.0,32.0,30.0,31.0,28.0,26.0,30.0,29.0,29.0,24.0,30.0,28.0,25.0,25.0,29.0,33.0,29.0
'DAC_CURRENT_GAIN_4',4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
'DAC_CURRENT_OFFSET_4',35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
'DAC_VOLTAGE_GAIN_5',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_5',13.0,13.0,14.0,15.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
'ADC_U_LOAD_GAIN_5',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_LOAD_OFFSET_5',12.0,12.0,14.0,13.0,12.0,13.0,13.0,10.0,15.0,15.0,13.0,13.0,13.0,14.0,15.0,13.0,13.0,14.0,14.0,14.0
'ADC_U_REGULATOR_GAIN_5',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_REGULATOR_OFFSET_5',15.0,15.0,13.0,13.0,16.0,12.0,13.0,14.0,12.0,15.0,14.0,14.0,13.0,13.0,12.0,15.0,15.0,15.0,16.0,16.0
'ADC_I_MON_GAIN_5',497.0,518.0,494.0,474.0,730.0,907.0,752.0,886.0,693.0,747.0,839.0,839.0,718.0,744.0,794.0,761.0,761.0,759.0,792.0,1071.0
'ADC_I_MON_OFFSET_5',313.0,328.0,273.0,243.0,383.0,458.0,383.0,462.0,349.0,357.0,437.0,437.0,359.0,374.0,406.0,385.0,385.0,389.0,391.0,507.0
'DAC_CURRENT_GAIN_5',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_CURRENT_OFFSET_5',3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
'DAC_VOLTAGE_GAIN_6',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
