'Date',2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25
'DAC_CURRENT_OFFSET_4',1048.0,1041.0,1046.0,1055.0,1055.0,1051.0,1049.0,1054.0,1055.0,1050.0,1051.0,1054.0,1052.0,1049.0,1053.0,1055.0,1053.0,1050.0,1040.0,1042.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
'DAC_VOLTAGE_GAIN_5',20019.0,20017.0,20017.0,20010.0,20010.0,20012.0,20012.0,20011.0,20012.0,20014.0,20013.0,20013.0,20014.0,20014.0,20014.0,20014.0,20014.0,20015.0,20019.0,20019.0
'DAC_VOLTAGE_OFFSET_5',248.0,238.0,237.0,226.0,227.0,235.0,234.0,232.0,227.0,228.0,234.0,228.0,227.0,226.0,226.0,229.0,227.0,228.0,249.0,245.0
'ADC_U_LOAD_GAIN_5',4639.0,4639.0,4640.0,4641.0,4641.0,4641.0,4642.0,4640.0,4641.0,4641.0,4640.0,4641.0,4641.0,4640.0,4640.0,4639.0,4640.0,4640.0,4640.0,4639.0
'ADC_U_LOAD_OFFSET_5',-835.0,-823.0,-835.0,-822.0,-815.0,-838.0,-857.0,-789.0,-857.0,-835.0,-829.0,-835.0,-825.0,-808.0,-809.0,-778.0,-791.0,-815.0,-870.0,-826.0
'ADC_U_REGULATOR_GAIN_5',4572.0,4571.0,4571.0,4573.0,4573.0,4573.0,4572.0,4572.0,4573.0,4572.0,4572.0,4572.0,4573.0,4573.0,4573.0,4572.0,4573.0,4572.0,4572.0,4572.0
'ADC_U_REGULATOR_OFFSET_5',-867.0,-841.0,-833.0,-814.0,-823.0,-864.0,-799.0,-823.0,-838.0,-832.0,-860.0,-826.0,-858.0,-870.0,-882.0,-857.0,-892.0,-847.0,-883.0,-901.0
'ADC_I_MON_GAIN_5',-150364.0,-151713.0,-151144.0,-150445.0,-149589.0,-150719.0,-150726.0,-149918.0,-149563.0,-151337.0,-150657.0,-149935.0,-151605.0,-149949.0,-148734.0,-150323.0,-149023.0,-148634.0,-150240.0,-150216.0
'ADC_I_MON_OFFSET_5',10166.0,9293.0,9703.0,10284.0,10241.0,10268.0,10127.0,10151.0,10087.0,9915.0,10033.0,10364.0,9843.0,10336.0,10294.0,10095.0,10550.0,10672.0,10516.0,9851.0
'DAC_CURRENT_GAIN_5',-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0,-670.0
'DAC_CURRENT_OFFSET_5',88.0,89.0,89.0,88.0,88.0,89.0,88.0,88.0,89.0,88.0,88.0,89.0,89.0,88.0,89.0,88.0,88.0,88.0,89.0,89.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
'DAC_VOLTAGE_GAIN_6',10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0,10011.0
'DAC_VOLTAGE_OFFSET_6',163.0,161.0,161.0,144.0,144.0,150.0,149.0,147.0,147.0,151.0,150.0,149.0,151.0,151.0,150.0,150.0,149.0,152.0,165.0,163.0
'ADC_U_LOAD_GAIN_6',4640.0,4638.0,4639.0,4642.0,4640.0,4643.0,4641.0,4638.0,4639.0,4641.0,4643.0,4639.0,4640.0,4641.0,4638.0,4640.0,4640.0,4639.0,4638.0,4639.0
'ADC_U_LOAD_OFFSET_6',-821.0,-826.0,-842.0,-842.0,-801.0,-853.0,-816.0,-799.0,-813.0,-831.0,-852.0,-802.0,-841.0,-837.0,-816.0,-829.0,-827.0,-808.0,-822.0,-835.0
'ADC_U_REGULATOR_GAIN_6',9988.0,9986.0,9986.0,9984.0,9989.0,9986.0,9983.0,9987.0,9986.0,9986.0,9987.0,9986.0,9988.0,9986.0,9985.0,9987.0,9988.0,9987.0,9984.0,9983.0
'ADC_U_REGULATOR_OFFSET_6',-930.0,-900.0,-885.0,-864.0,-873.0,-875.0,-858.0,-879.0,-887.0,-875.0,-859.0,-884.0,-895.0,-868.0,-882.0,-895.0,-916.0,-926.0,-887.0,-884.0
'ADC_I_MON_GAIN_6',-9985.0,-9996.0,-10079.0,-9900.0,-9999.0,-10000.0,-9984.0,-9941.0,-10002.0,-10053.0,-9893.0,-9957.0,-9979.0,-9947.0,-10015.0,-9993.0,-9965.0,-9962.0,-9885.0,-9960.0
'ADC_I_MON_OFFSET_6',-680.0,-416.0,-1501.0,70.0,-772.0,-1006.0,-686.0,-458.0,-801.0,-839.0,-256.0,16.0,-844.0,-462.0,-816.0,-1087.0,-555.0,-545.0,64.0,-561.0
'DAC_CURRENT_GAIN_6',-10042.0,-10042.0,-10043.0,-10045.0,-10045.0,-10046.0,-10047.0,-10046.0,-10046.0,-10046.0,-10046.0,-10046.0,-10045.0,-10045.0,-10044.0,-10045.0,-10045.0,-10046.0,-10042.0,-10042.0
'DAC_CURRENT_OFFSET_6',-280.0,-271.0,-270.0,-265.0,-264.0,-266.0,-265.0,-264.0,-263.0,-263.0,-263.0,-266.0,-267.0,-267.0,-267.0,-266.0,-265.0,-264.0,-269.0,-271.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
'DAC_VOLTAGE_GAIN_7',10014.0,10014.0,10014.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10014.0,10014.0
'DAC_VOLTAGE_OFFSET_7',174.0,166.0,166.0,135.0,136.0,142.0,143.0,140.0,141.0,147.0,145.0,145.0,148.0,146.0,147.0,146.0,145.0,153.0,173.0,171.0
'ADC_U_LOAD_GAIN_7',4636.0,4651.0,4656.0,4639.0,4635.0,4649.0,4643.0,4637.0,4638.0,4638.0,4648.0,4642.0,4644.0,4631.0,4631.0,4625.0,4624.0,4639.0,4635.0,4636.0
'ADC_U_LOAD_OFFSET_7',-917.0,-1050.0,-1123.0,-1011.0,-1033.0,-1073.0,-948.0,-880.0,-871.0,-950.0,-1056.0,-1001.0,-1074.0,-884.0,-825.0,-909.0,-765.0,-1035.0,-1052.0,-917.0
'ADC_U_REGULATOR_GAIN_7',9980.0,9987.0,9981.0,9984.0,9980.0,9983.0,9981.0,9978.0,9986.0,9984.0,9983.0,9981.0,9986.0,9984.0,9982.0,9980.0,9991.0,9982.0,9988.0,9988.0
'ADC_U_REGULATOR_OFFSET_7',-797.0,-840.0,-805.0,-800.0,-763.0,-785.0,-757.0,-748.0,-804.0,-818.0,-800.0,-797.0,-844.0,-817.0,-832.0,-791.0,-883.0,-815.0,-858.0,-845.0
'ADC_I_MON_GAIN_7',-9897.0,-9906.0,-9900.0,-9896.0,-9895.0,-9894.0,-9896.0,-9899.0,-9901.0,-9896.0,-9904.0,-9898.0,-9892.0,-9890.0,-9898.0,-9893.0,-9899.0,-9896.0,-9896.0,-9900.0
'ADC_I_MON_OFFSET_7',-707.0,-644.0,-696.0,-683.0,-711.0,-714.0,-697.0,-690.0,-698.0,-708.0,-656.0,-696.0,-723.0,-748.0,-691.0,-725.0,-698.0,-739.0,-757.0,-713.0
'DAC_CURRENT_GAIN_7',10002.0,10003.0,10003.0,10005.0,10005.0,10005.0,10006.0,10006.0,10005.0,10005.0,10005.0,10005.0,10005.0,10005.0,10005.0,10005.0,10005.0,10006.0,10003.0,10003.0
'DAC_CURRENT_OFFSET_7',-400.0,-391.0,-393.0,-388.0,-386.0,-388.0,-387.0,-389.0,-388.0,-389.0,-391.0,-389.0,-385.0,-389.0,-386.0,-388.0,-389.0,-385.0,-394.0,-395.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
