'ADC_U_LOAD_GAIN_5',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
'ADC_U_LOAD_OFFSET_5',16.0,16.0,15.0,16.0,16.0,17.0,20.0,16.0,17.0,18.0,16.0,16.0,20.0,16.0,18.0,18.0,20.0,16.0,15.0,17.0
'ADC_U_REGULATOR_GAIN_5',0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_REGULATOR_OFFSET_5',15.0,15.0,12.0,18.0,18.0,18.0,16.0,17.0,18.0,18.0,14.0,16.0,13.0,15.0,16.0,16.0,17.0,13.0,15.0,14.0
'ADC_I_MON_GAIN_5',579.0,590.0,523.0,507.0,472.0,639.0,574.0,565.0,513.0,728.0,516.0,487.0,589.0,456.0,556.0,561.0,576.0,495.0,493.0,560.0
'ADC_I_MON_OFFSET_5',330.0,328.0,287.0,270.0,267.0,356.0,326.0,310.0,281.0,389.0,293.0,270.0,312.0,256.0,308.0,296.0,324.0,282.0,279.0,324.0
'DAC_CURRENT_GAIN_5',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_CURRENT_OFFSET_5',3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
'DAC_VOLTAGE_GAIN_6',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_6',7.0,8.0,8.0,14.0,14.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,7.0,8.0
